Language,Opp
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
French,TRUE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,TRUE
French,FALSE
French,TRUE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,TRUE
French,TRUE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,TRUE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,TRUE
French,FALSE
French,TRUE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,TRUE
French,FALSE
French,TRUE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,TRUE
French,TRUE
French,FALSE
French,TRUE
French,TRUE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,FALSE
French,TRUE
French,FALSE
French,TRUE
French,TRUE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
English,TRUE
English,TRUE
English,FALSE
English,FALSE
English,TRUE
English,TRUE
Chineese,FALSE
Chineese,TRUE
Chineese,FALSE
