Patent_ID,Patentee_ID,Title,Subject,Inventor,Expense in US$,Patent_Attorney_ID,Patent_Examiner_ID,Office_ID,Date_of_Grant,Date_of_Expiry,Opposition_Filled_Status,Filling_Language,Validation_States
171694,101938,See-through optical combiner for augmented reality head-mounted display: index-matched anisotropic crystal lens,Political Science,Jong-Young Hong,799432,345105,500105,,1980-02-22,2000-02-22,True,Japaneese,Expired
171696,100639,"Naked singularity, firewall, and Hawking radiation",Political Science,Hongsheng Zhang,626014,345106,500106,,1993-12-10,2013-12-10,True,Japaneese,Expired
171702,101539,Highly Flexible and Efficient Fabric-Based Organic Light-Emitting Devices for Clothing-Shaped Wearable Displays,Political Science,Seungyeop Choi,602777,345107,500107,,1989-02-14,2009-02-14,False,Japaneese,Expired
171711,102121,Control of unsteady laser-produced plasma-flow with a multiple-coil magnetic nozzle,Political Science,Taichi Morita,104057,345108,500108,,2002-11-11,2022-11-11,True,Japaneese,Approved
171713,101207,Energy-free machine learning force field for aluminum,Political Science,Ivan Kruglov,894153,345109,500109,,1993-09-23,2013-09-23,True,Japaneese,Expired
171720,100492,Tuning magnetic properties for domain wall pinning via localized metal diffusion,Political Science,T. L. Jin,581857,345110,500110,,1987-12-12,2007-12-12,False,Japaneese,Expired
171727,100173,Emergent wave phenomena in coupled elastic bars: from extreme attenuation to realization of elastodynamic switches,Political Science,Qianli Chen &,362645,345111,500111,,2013-10-22,2033-10-22,False,Japaneese,Approved
171734,100661,Quantifying Quantum-Mechanical Processes,Political Science,Jen-Hsiang Hsieh,831721,345112,500112,,1995-12-10,2015-12-10,True,Japaneese,Expired
171740,101733,Band Gap Engineering of Multi-Junction Solar Cells: Effects of Series Resistances and Solar Concentration,Political Science,Joya Zeitouny,556805,345113,500113,,2020-04-07,2040-04-07,True,Japaneese,Approved
171746,101168,Prime factorization using quantum annealing and computational algebraic geometry,Political Science,Raouf Dridi &,952454,345114,500114,,2003-06-22,2023-06-22,True,Japaneese,Approved
171752,101224,Stanene-hexagonal boron nitride heterobilayer: Structure and characterization of electronic property,Political Science,Asir Intisar Khan,583328,345115,500115,,1988-03-24,2008-03-24,False,Japaneese,Expired
171758,102293,Supervised Quantum Learning without Measurements,Political Science,Unai Alvarez-Rodriguez,983161,345116,500116,,1997-05-13,2017-05-13,False,Japaneese,Expired
171761,100075,Rapid Fabrication of Graphene Field-Effect Transistors with Liquid-metal Interconnects and Electrolytic Gate Dielectric Made of Honey,Political Science,Richard C. Ordonez,282626,345117,500117,,2010-09-09,2030-09-09,False,Japaneese,Approved
171770,102425,Effects of oxygen vacancies on the structural and optical properties of β-Ga2O3,Political Science,Linpeng Dong,580993,345118,500118,,1989-08-22,2009-08-22,False,Japaneese,Expired
171776,101742,Photobleaching in STED nanoscopy and its dependence on the photon flux applied for reversible silencing of the fluorophore,Political Science,Joanna Oracz,183595,345119,500119,,1998-09-08,2018-09-08,True,Japaneese,Expired
171784,100740,What is the temperature of a moving body?,Political Science,Cristian Farías,632949,345120,500120,,2019-12-09,2039-12-09,True,Japaneese,Approved
171786,101769,The habitability of the Milky Way during the active phase of its central supermassive black hole,Political Science,Amedeo Balbi &,634077,345121,500121,,2008-09-27,2028-09-27,False,Japaneese,Approved
171787,102372,Machine learning quantum phases of matter beyond the fermion sign problem,Political Science,Peter Broecker,306102,345122,500122,,2017-10-21,2037-10-21,False,Japaneese,Approved
171789,101266,A patterned single layer graphene resistance temperature sensor,Political Science,Benyamin Davaji,860071,345123,500123,,2013-02-25,2033-02-25,False,Japaneese,Approved
171793,101340,Experimental evidence for short-pulse laser heating of solid-density target to high bulk temperatures,Political Science,A. Soloviev,745698,345124,500124,,2011-03-25,2031-03-25,True,Japaneese,Approved
171794,100051,Full-wave modeling of broadband near field scanning microwave microscopy,Political Science,Bi-Yi Wu,13957,345125,500125,,1990-08-09,2010-08-09,True,Japaneese,Expired
171798,101877,Photoelectrolysis Using Type-II Semiconductor Heterojunctions,Political Science,S. Harrison &,377487,345126,500126,,2004-11-04,2024-11-04,False,Japaneese,Approved
171807,101061,Tunable plasmonic substrates with ultrahigh Q-factor resonances,Political Science,Hamid T. Chorsi,183520,345127,500127,,2009-03-03,2029-03-03,True,Japaneese,Approved
171808,100790,Neuromorphic photonic networks using silicon photonic weight banks,Political Science,Alexander N. Tait,394542,345128,500128,,2011-09-13,2031-09-13,False,Japaneese,Approved
171814,101819,Gas sensors boosted by two-dimensional h-BN enabled transfer on thin substrate foils: towards wearable and portable applications,Political Science,Taha Ayari,818488,345129,500129,,2001-08-15,2021-08-15,True,Japaneese,Approved
171818,101635,Transition from Anomalous Hall Effect to Topological Hall Effect in Hexagonal Non-Collinear Magnet Mn3Ga,Political Science,Z. H. Liu,658801,345130,500130,,1988-01-26,2008-01-26,False,Japaneese,Expired
171824,102014,Photonics-based real-time ultra-high-range-resolution radar with broadband signal generation and processing,Sociology,Fangzheng Zhang,56046,345131,500131,,2009-10-28,2029-10-28,True,Japaneese,Approved
171832,101142,The Origin of the “Seasons” in Space Weather,Sociology,Mausumi Dikpati,665243,345132,500132,,2003-01-05,2023-01-05,False,Japaneese,Approved
171835,100524,Generation of steady entanglement via unilateral qubit driving in bad cavities,Sociology,Zhao Jin,85383,345133,500133,,1995-03-22,2015-03-22,True,Japaneese,Expired
171841,100647,Dynamic measurement of near-field radiative heat transfer,Sociology,S. Lang,338747,345134,500134,,1996-11-08,2016-11-08,True,Japaneese,Expired
171843,101749,"Hidden Magnetic States Emergent Under Electric Field, In A Room Temperature Composite Magnetoelectric Multiferroic",Sociology,J. D. Clarkson,946441,345135,500135,,2009-05-02,2029-05-02,False,Japaneese,Approved
171850,101447,"Robust, high brightness, degenerate entangled photon source at room temperature",Sociology,M. V. Jabir &,960495,345136,500136,,1985-06-04,2005-06-04,True,Japaneese,Expired
171856,101974,An absorption-free and Doppler-improved optical waveguide for diffractionless light propagation,Sociology,Ni Cui,837531,345137,500137,,2015-02-16,2035-02-16,True,Japaneese,Approved
171862,100721,Machine-learned approximations to Density Functional Theory Hamiltonians,Sociology,Ganesh Hegde &,109790,345138,500138,,1987-01-11,2007-01-11,False,Japaneese,Expired
171868,102205,Enhanced conversion efficiency in Si solar cells employing photoluminescent down-shifting CdSe/CdS core/shell quantum dots,Sociology,R. Lopez-Delgado,922783,345139,500139,,2018-01-23,2038-01-23,True,Japaneese,Approved
171875,100772,Influence of experimental parameters on the laser heating of an optical trap,Sociology,Frederic Català,258178,345140,500140,,1982-04-12,2002-04-12,False,Japaneese,Expired
171884,101543,Controlling sound radiation through an opening with secondary loudspeakers along its boundaries,Sociology,Shuping Wang,60397,345141,500141,,2007-09-03,2027-09-03,True,Japaneese,Approved
171891,102428,"Full-color, large area, transmissive holograms enabled by multi-level diffractive optics",Sociology,Nabil Mohammad,674264,345142,500142,,1985-05-22,2005-05-22,True,Japaneese,Expired
171896,100946,Effectively infinite optical path-length created using a simple cubic photonic crystal for extreme light trapping,Sociology,Brian J. Frey,728999,345143,500143,,1992-06-09,2012-06-09,True,Japaneese,Expired
171897,100401,Enhanced skyrmion stability due to exchange frustration,Sociology,S. von Malottki,600897,345144,500144,,1985-01-26,2005-01-26,False,Japaneese,Expired
171901,100484,All-optical control on a graphene-on-silicon waveguide modulator,Sociology,Kelvin J. A. Ooi,768729,345145,500145,,1992-08-15,2012-08-15,False,Japaneese,Expired
171907,102189,Increased light penetration due to ultrasound-induced air bubbles in optical scattering media,Sociology,Haemin Kim &,521102,345146,500146,,2016-02-15,2036-02-15,True,Bengali,Approved
171914,101323,High-speed manufacturing of highly regular femtosecond laser-induced periodic surface structures: physical origin of regularity,Sociology,Iaroslav Gnilitskyi,775590,345147,500147,,1981-03-22,2001-03-22,False,German,Expired
171920,101418,Objective-lens-free Fiber-based Position Detection with Nanometer Resolution in a Fiber Optical Trapping System,Sociology,Chaoyang Ti,28910,345148,500148,,2005-10-21,2025-10-21,True,German,Approved
171929,101039,Estimating the intrinsic dimension of datasets by a minimal neighborhood information,Sociology,Elena Facco,307320,345149,500149,,1996-06-01,2016-06-01,False,German,Expired
171933,102405,Terahertz beam switching by electrical control of graphene-enabled tunable metasurface,Sociology,Yin Zhang,505264,345150,500150,,2020-10-20,2040-10-20,False,German,Approved
171942,101303,High-Performance Screen-Printed Thermoelectric Films on Fabrics,Sociology,Sunmi Shin,831770,345151,500151,,1982-08-24,2002-08-24,True,German,Expired
171949,100568,Terahertz spectroscopy of anisotropic materials using beams with rotatable polarization,Sociology,C. D. W. Mosley,621652,345152,500152,,2014-08-12,2034-08-12,True,German,Approved
171953,100764,Non-destructive elemental analysis of a carbonaceous chondrite with direct current Muon beam at MuSIC,Sociology,K. Terada,965858,345153,500153,,2008-01-19,2028-01-19,True,German,Approved
171957,100308,The Mobility Enhancement of Indium Gallium Zinc Oxide Transistors via Low-temperature Crystallization using a Tantalum Catalytic Layer,Sociology,Yeonwoo Shin,979967,345154,500154,,1991-01-05,2011-01-05,False,German,Expired
171961,100250,Compositionally Graded Multilayer Ceramic Capacitors,Sociology,Hyun-Cheol Song,616335,345155,500155,,2008-04-19,2028-04-19,False,German,Approved
171963,102411,3D Printing of Polymer-Bonded Rare-Earth Magnets With a Variable Magnetic Compound Fraction for a Predefined Stray Field,Sociology,Christian Huber,970985,345156,500156,,2020-04-28,2040-04-28,False,German,Approved
